Date	Time	50mWS	50mSD	30mWS	30mSD	10mWS	10mSD	50mDIR	30mDIR	TEMP
080113	0000	5.1	0.7	4.6	0.6	3.5	0.6	58.9	67.4	29.0
080113	0010	5.4	0.6	4.8	0.7	3.8	0.7	68.8	79.4	29.0
080113	0020	6.0	0.8	5.3	0.6	4.3	0.6	73.4	84.3	29.0
080113	0030	6.8	1.0	6.0	0.9	4.7	0.8	72.5	81.8	29.1
080113	0040	7.6	1.1	6.8	1.1	5.3	0.9	70.8	80.2	29.2
080113	0050	6.4	0.8	5.6	0.8	4.4	0.9	66.7	75.8	29.2
080113	0100	7.1	1.0	6.2	1.0	4.8	0.8	66.6	76.5	29.3
080113	0110	7.5	1.0	6.8	0.9	5.5	1.0	71.1	80.3	29.4
080113	0120	7.1	1.0	6.3	1.0	5.2	1.0	70.8	81.7	29.4
080113	0130	6.6	0.9	6.3	1.0	4.9	1.0	69.4	78.9	29.3
080113	0140	7.7	1.2	7.1	1.2	5.3	1.0	69.1	79.2	29.2
080113	0150	9.7	1.4	9.0	1.6	7.5	1.6	70.0	79.0	29.3
080113	0200	8.7	1.4	8.1	1.4	6.5	1.3	74.0	83.7	29.1
080113	0210	7.9	1.3	7.2	1.3	5.9	1.1	79.9	89.8	28.9
080113	0220	7.8	1.2	7.3	1.2	5.9	1.0	66.0	75.4	28.7
080113	0230	8.4	1.6	7.8	1.6	6.1	1.4	63.6	73.3	28.5
080113	0240	7.9	1.1	7.2	1.0	5.7	1.0	66.7	77.5	28.4
080113	0250	7.3	0.9	6.6	1.0	5.4	1.0	73.5	84.6	28.4
080113	0300	5.9	0.8	5.5	0.7	4.3	0.7	71.5	80.4	28.3
080113	0310	5.6	0.8	5.1	0.7	4.1	0.6	65.3	73.5	28.2
080113	0320	5.3	0.8	4.8	0.8	3.9	0.6	62.5	73.0	28.1
080113	0330	6.5	0.8	5.6	0.8	4.3	0.8	69.6	78.2	28.1
080113	0340	5.7	0.8	5.3	0.7	4.3	0.6	63.1	73.8	28.1
080113	0350	5.1	0.7	4.7	0.6	3.9	0.7	60.1	71.5	27.9
080113	0400	5.6	0.8	4.9	0.6	3.9	0.7	63.3	73.9	27.8
080113	0410	5.7	0.8	5.1	0.7	4.0	0.7	59.5	69.1	27.7
080113	0420	6.3	0.8	5.8	0.8	4.5	0.9	59.1	68.5	27.7
080113	0430	6.4	0.8	6.0	0.8	4.6	0.8	61.8	70.2	27.6
080113	0440	5.9	0.8	5.3	0.8	4.3	0.8	57.9	67.8	27.6
080113	0450	5.1	0.8	4.6	0.7	3.7	0.7	58.5	67.3	27.5
080113	0500	5.1	0.9	4.5	0.8	3.5	0.7	52.6	62.8	27.5
080113	0510	5.7	0.8	5.1	0.8	4.0	0.8	52.8	64.5	27.5
080113	0520	5.6	0.7	5.1	0.6	3.7	0.7	51.5	62.3	27.5
080113	0530	5.1	0.7	4.5	0.7	3.5	0.7	51.9	61.0	27.5
080113	0540	5.5	0.8	4.9	0.8	3.8	0.6	49.3	58.8	27.5
080113	0550	5.0	0.7	4.4	0.7	3.4	0.6	52.4	61.6	27.5
080113	0600	5.1	0.6	4.6	0.6	3.5	0.7	56.4	66.1	27.4
080113	0610	4.6	0.7	4.1	0.5	3.1	0.6	57.8	67.8	27.4
080113	0620	5.1	0.8	4.6	0.7	3.4	0.7	61.7	70.7	27.3
080113	0630	5.3	0.7	4.7	0.7	3.7	0.7	72.1	82.0	27.3
080113	0640	5.0	0.7	4.6	0.6	3.8	0.6	76.9	87.5	27.3
