Date	Time	50mWS	50mSD	30mWS	30mSD	10mWS	10mSD	50mDIR	30mDIR	TEMP
070113	0000	4.2	0.7	3.5	0.6	2.9	0.6	59.3	66.7	26.8
070113	0010	5.1	0.8	4.3	0.7	3.4	0.6	62.5	70.1	26.8
070113	0020	5.9	0.8	5.3	0.7	4.0	0.7	61.4	69.3	26.9
070113	0030	5.5	1.0	5.0	0.9	3.9	0.6	56.0	65.0	26.9
070113	0040	4.5	0.6	3.8	0.6	2.9	0.6	56.6	67.4	26.8
070113	0050	4.2	0.7	3.8	0.7	2.9	0.6	59.1	69.3	26.8
070113	0100	4.7	0.7	4.1	0.6	3.1	0.6	56.6	67.2	26.9
070113	0110	4.6	0.6	3.9	0.6	3.0	0.6	45.9	55.2	26.9
070113	0120	5.4	0.8	4.5	0.7	3.4	0.8	36.4	44.7	26.8
070113	0130	5.5	0.7	4.7	0.7	3.6	0.6	37.2	45.7	26.8
070113	0140	5.1	0.6	4.2	0.6	3.2	0.5	33.4	42.4	26.8
070113	0150	5.0	0.5	4.2	0.6	3.1	0.8	30.5	39.8	26.8
070113	0200	4.7	0.5	3.9	0.6	3.1	0.5	36.6	45.4	26.8
070113	0210	5.1	0.7	4.2	0.8	3.2	0.6	40.3	47.8	26.7
070113	0220	5.6	0.7	4.6	0.8	3.4	0.7	48.1	57.4	26.8
070113	0230	5.6	0.7	5.0	0.6	3.8	0.6	57.7	68.4	26.9
070113	0240	5.5	0.6	5.0	0.6	3.8	0.7	58.9	68.9	27.0
070113	0250	5.4	0.7	4.5	0.6	3.5	0.7	57.6	65.9	26.9
070113	0300	5.4	0.7	4.6	0.7	3.3	0.6	58.0	67.5	26.9
070113	0310	5.5	0.7	4.7	0.7	3.6	0.6	68.8	77.1	27.0
070113	0320	4.4	0.8	3.7	0.7	2.7	0.6	68.1	77.6	26.9
070113	0330	4.6	0.7	4.1	0.6	3.3	0.6	67.9	76.6	26.9
070113	0340	4.8	0.7	4.0	0.7	3.3	0.5	71.1	80.5	26.9
070113	0350	4.9	0.7	4.5	0.7	3.6	0.6	70.4	79.3	26.9
070113	0400	5.2	0.8	4.5	0.7	3.7	0.7	64.6	73.0	26.9
070113	0410	5.4	0.8	4.9	0.7	4.1	0.7	57.7	66.9	27.0
070113	0420	6.2	1.0	5.6	0.9	4.5	0.7	52.6	63.2	26.9
070113	0430	7.3	1.2	6.7	1.1	5.3	1.1	60.1	69.9	26.7
070113	0440	6.3	1.0	5.8	1.1	4.6	1.0	63.7	74.6	26.6
070113	0450	6.0	0.9	5.6	0.8	4.7	0.8	60.4	70.3	26.4
070113	0500	6.2	0.9	5.7	0.9	4.5	0.7	58.6	69.1	26.3
070113	0510	6.3	1.2	5.7	1.0	4.5	0.8	54.6	63.8	26.2
070113	0520	6.4	1.1	6.0	1.1	4.9	1.0	52.1	62.7	26.1
070113	0530	5.7	0.8	5.1	0.7	3.9	0.7	53.1	63.1	26.0
070113	0540	5.3	0.8	4.8	0.7	3.7	0.7	55.6	65.5	26.0
070113	0550	4.8	0.8	4.3	0.8	3.4	0.7	58.6	70.6	26.1
070113	0600	4.3	0.7	3.7	0.7	3.0	0.6	56.1	66.4	26.1
070113	0610	3.5	0.6	3.0	0.6	2.2	0.5	52.7	63.9	26.0
070113	0620	3.7	0.6	3.0	0.5	2.4	0.5	55.8	65.3	26.0
070113	0630	3.3	0.6	2.8	0.6	2.2	0.5	57.6	65.5	26.1
070113	0640	3.7	0.6	3.1	0.7	2.4	0.6	63.0	73.8	26.1
070113	0650	4.0	0.7	3.3	0.6	2.6	0.5	60.9	73.5	26.2
070113	0700	3.9	0.7	3.4	0.5	2.6	0.4	69.2	80.1	26.3
070113	0710	4.1	0.8	3.5	0.6	2.9	0.6	68.8	77.3	26.4
070113	0720	4.2	0.8	3.6	0.7	2.9	0.7	67.3	76.1	26.5
070113	0730	4.4	0.7	4.1	0.6	3.2	0.6	63.4	73.0	26.6
070113	0740	4.2	0.7	3.7	0.7	3.1	0.5	61.3	69.2	26.6
070113	0750	3.7	0.6	3.2	0.6	2.7	0.5	50.9	59.0	26.8
070113	0800	3.8	0.6	3.3	0.6	2.9	0.5	47.5	53.6	26.9
070113	0810	3.8	0.6	3.2	0.6	2.8	0.6	46.0	58.3	27.0
070113	0820	3.5	0.7	3.2	0.7	2.9	0.5	50.8	60.2	27.2
070113	0830	3.8	0.6	3.3	0.5	3.1	0.6	56.7	66.9	27.3
070113	0840	4.7	0.9	4.6	0.9	4.1	0.7	59.8	71.0	27.4
070113	0850	4.6	0.7	4.3	0.8	3.8	0.7	63.9	73.5	27.5
070113	0900	3.7	0.8	3.6	0.9	3.3	0.7	56.7	67.8	27.6
070113	0910	5.0	0.9	4.8	0.9	4.3	0.8	57.6	66.3	27.6
070113	0920	5.0	1.0	4.6	1.0	3.8	0.7	61.5	70.2	27.6
070113	0930	4.9	0.6	4.5	0.8	4.0	0.8	59.1	68.9	27.7
070113	0940	6.0	1.3	5.6	1.3	4.9	1.1	59.5	69.1	27.7
070113	0950	5.2	0.6	5.1	0.6	4.3	0.7	60.3	69.9	27.6
070113	1000	5.5	0.8	5.2	0.8	4.4	0.8	74.7	84.2	27.6
070113	1010	5.7	0.8	5.2	0.8	4.5	0.7	80.6	91.6	26.9
070113	1020	5.3	1.4	4.8	1.4	4.1	1.0	72.1	83.7	26.6
070113	1030	6.7	1.5	6.4	1.3	5.1	1.2	60.2	72.5	26.8
070113	1040	8.9	1.4	8.5	1.4	6.9	1.3	63.3	73.6	26.8
070113	1050	7.7	0.9	7.1	0.9	5.7	1.1	58.8	68.8	26.6
070113	1100	8.4	1.4	7.7	1.2	6.3	1.0	61.3	71.0	26.6
070113	1110	7.7	1.2	7.3	1.2	5.9	1.1	62.5	70.7	26.7
070113	1120	7.9	1.2	7.2	1.1	6.1	1.1	65.0	74.8	26.9
070113	1130	7.6	1.1	7.0	1.1	5.7	1.0	67.0	77.0	26.9
070113	1140	6.1	0.9	5.5	0.8	4.4	0.8	65.4	75.7	27.0
070113	1150	5.6	1.0	5.1	0.9	4.2	0.9	59.0	69.6	27.2
070113	1200	5.7	1.0	5.3	0.8	4.4	0.7	54.7	64.6	27.4
070113	1210	5.6	0.9	5.2	0.8	4.4	0.8	58.7	69.6	27.4
070113	1220	6.5	1.0	6.2	0.9	4.9	0.9	64.3	73.9	27.4
070113	1230	6.2	1.0	5.9	1.0	5.2	1.0	70.4	80.0	27.8
070113	1240	5.1	0.9	4.6	0.9	4.0	0.9	63.9	74.0	28.2
070113	1250	5.2	0.9	4.9	0.8	4.4	0.8	62.0	73.0	28.6
070113	1300	5.6	0.9	5.4	0.8	4.7	0.8	66.4	74.2	29.0
070113	1310	6.9	1.2	6.5	1.3	5.5	1.1	68.2	77.8	29.6
070113	1320	7.3	1.2	6.7	1.2	5.5	1.0	66.1	75.1	29.6
070113	1330	6.9	1.4	6.7	1.2	5.8	1.3	78.9	90.4	30.0
070113	1340	6.7	1.3	6.4	1.2	5.5	1.1	76.6	86.8	30.2
070113	1350	7.6	0.7	7.1	0.8	6.2	0.9	81.1	91.7	30.2
070113	1400	6.8	0.9	6.4	0.8	5.5	0.8	72.1	83.5	30.4
070113	1410	6.5	1.3	6.3	1.2	5.4	1.2	66.5	75.3	30.5
070113	1420	7.1	1.0	6.7	1.1	5.7	1.1	75.8	85.3	30.5
070113	1430	7.7	0.9	7.3	0.8	6.1	0.9	75.7	86.6	30.7
070113	1440	6.7	0.7	6.6	0.8	5.5	0.9	69.1	79.6	31.0
070113	1450	9.0	1.4	8.5	1.4	7.2	1.3	72.2	82.1	31.3
070113	1500	7.7	1.1	7.4	1.2	6.3	1.1	71.8	82.5	31.5
070113	1510	8.4	1.2	8.3	1.2	7.2	1.0	65.2	73.3	31.3
070113	1520	8.0	1.1	7.6	1.2	6.4	1.0	72.4	82.8	31.3
070113	1530	8.1	1.2	7.7	1.2	6.8	1.3	61.5	71.6	31.5
070113	1540	8.2	1.0	7.9	1.1	6.8	1.0	71.9	81.6	31.6
070113	1550	7.9	0.9	7.5	1.1	6.3	1.0	65.7	75.4	31.5
070113	1600	7.8	1.3	7.3	1.2	6.1	1.2	64.9	73.8	31.6
070113	1610	8.0	1.2	7.5	1.1	6.2	1.2	79.8	89.3	31.7
070113	1620	8.7	0.9	8.2	1.0	7.0	1.0	79.9	90.3	31.7
070113	1630	7.9	1.1	7.5	1.0	6.1	1.0	75.0	84.4	31.7
070113	1640	6.1	0.9	5.8	0.9	5.0	0.9	67.4	77.7	31.9
070113	1650	7.0	1.1	6.8	1.1	5.8	1.0	57.6	68.4	31.6
070113	1700	7.3	1.1	7.0	1.2	5.8	1.1	58.9	68.4	31.6
070113	1710	7.2	1.0	6.7	1.1	5.4	0.9	56.1	65.8	31.7
070113	1720	7.2	1.4	7.1	1.4	6.0	1.1	61.1	71.3	31.6
070113	1730	5.9	1.0	5.5	1.1	4.7	0.9	61.5	70.3	31.8
070113	1740	6.8	0.9	6.6	0.9	5.3	1.0	64.9	75.9	31.8
070113	1750	5.1	0.9	4.8	1.1	4.4	0.9	67.9	75.5	31.8
070113	1800	5.6	1.0	5.2	0.9	4.3	0.7	71.0	81.7	31.7
070113	1810	6.0	0.8	5.6	0.9	4.6	1.0	63.8	72.8	31.6
070113	1820	6.3	0.8	5.9	0.8	5.0	0.9	78.1	89.5	31.6
070113	1830	5.2	0.7	4.9	0.8	4.3	0.7	83.7	93.1	31.4
070113	1840	4.2	0.7	3.8	0.7	3.4	0.6	80.8	93.2	31.3
070113	1850	4.7	0.7	4.0	0.6	3.6	0.6	77.8	89.3	31.3
070113	1900	4.9	0.7	4.4	0.7	3.7	0.7	73.7	84.1	31.2
070113	1910	5.9	0.9	5.5	0.9	4.7	0.8	77.7	87.8	31.1
070113	1920	5.6	0.6	4.9	0.7	3.9	0.7	76.1	85.6	31.0
070113	1930	5.5	0.7	4.9	0.6	3.9	0.7	74.0	82.7	30.8
070113	1940	5.0	0.7	4.4	0.6	3.6	0.5	72.6	82.0	30.6
070113	1950	4.5	0.5	4.1	0.5	3.2	0.5	76.0	84.7	30.4
070113	2000	4.1	0.5	3.3	0.5	2.8	0.4	84.4	94.5	30.2
070113	2010	3.1	0.4	2.4	0.4	2.0	0.3	83.7	94.6	30.1
070113	2020	2.6	0.3	1.9	0.3	1.7	0.2	83.4	94.4	29.9
070113	2030	2.1	0.3	1.2	0.4	1.2	0.4	82.7	94.4	29.7
070113	2040	2.2	0.3	1.3	0.3	1.1	0.4	82.5	94.3	29.5
070113	2050	2.4	0.3	1.4	0.4	1.1	0.4	82.6	94.3	29.4
070113	2100	2.3	0.3	1.2	0.4	1.2	0.3	83.3	94.3	29.3
070113	2110	2.1	0.4	0.6	0.5	0.4	0.1	84.4	94.6	29.2
070113	2120	2.0	0.4	0.5	0.3	0.3	0.0	85.5	95.4	29.1
070113	2130	1.3	0.7	0.3	0.1	0.3	0.0	83.5	95.3	29.1
070113	2140	0.9	0.6	0.3	0.0	0.3	0.0	84.0	95.6	29.0
070113	2150	2.6	2.3	1.7	2.4	1.5	2.0	69.9	84.7	29.1
070113	2200	6.0	2.0	5.7	1.8	4.5	1.7	46.3	52.4	28.1
070113	2210	3.9	0.5	3.2	0.5	2.3	0.5	34.0	41.8	27.8
070113	2220	3.7	0.4	3.1	0.5	2.3	0.7	25.7	34.3	27.8
070113	2230	3.6	0.6	2.9	0.6	2.0	0.5	40.8	42.6	27.8
070113	2240	4.1	0.7	3.4	0.6	2.7	0.6	56.1	62.4	28.0
070113	2250	4.5	0.5	3.9	0.6	3.1	0.5	57.5	68.3	28.1
070113	2300	4.4	0.6	3.5	0.5	2.6	0.6	52.5	61.8	27.9
070113	2310	4.9	0.5	3.9	0.6	2.9	0.6	58.8	67.5	27.8
070113	2320	5.0	0.5	3.9	0.5	3.0	0.4	69.7	82.0	27.8
070113	2330	6.0	0.7	4.7	0.6	3.3	0.5	64.9	72.7	27.7
070113	2340	6.0	0.8	4.9	0.6	3.8	0.6	64.9	72.7	27.8
070113	2350	5.6	0.7	4.7	0.6	3.6	0.6	64.3	71.6	27.9
070213	0000	6.4	1.0	5.6	0.9	4.4	0.8	70.5	78.6	28.1
