Date	Time	50mWS	50mSD	30mWS	30mSD	10mWS	10mSD	50mDIR	30mDIR	TEMP
060113	0000	5.2	0.7	4.4	0.5	3.3	0.6	75.9	86.3	24.9
060113	0010	4.7	0.5	4.1	0.5	3.1	0.5	79.6	89.8	24.8
060113	0020	4.8	0.7	4.1	0.6	3.1	0.6	81.4	90.8	24.8
060113	0030	6.2	0.9	5.4	0.8	4.4	0.6	84.3	93.7	24.8
060113	0040	6.4	1.0	5.9	0.9	4.7	0.9	89.3	97.2	24.8
060113	0050	6.5	0.7	5.9	0.6	4.8	0.6	87.1	96.2	24.7
060113	0100	6.2	0.7	5.6	0.6	4.6	0.7	83.4	93.7	24.6
060113	0110	6.0	0.8	5.5	0.8	4.4	0.7	78.8	89.6	24.5
060113	0120	5.9	0.8	5.3	0.7	4.2	0.7	82.7	92.7	24.4
060113	0130	6.0	0.7	5.3	0.7	4.2	0.7	79.8	90.3	24.3
060113	0140	6.1	1.0	5.5	1.0	4.4	0.9	71.1	82.0	24.2
060113	0150	7.7	1.3	7.1	1.2	5.4	1.0	66.3	75.3	24.2
060113	0200	8.1	1.4	7.6	1.4	5.9	1.3	65.7	75.8	24.3
060113	0210	8.5	1.3	7.8	1.2	6.5	1.2	71.0	80.5	24.4
060113	0220	7.9	1.2	7.5	1.0	6.1	1.1	69.6	79.2	24.3
060113	0230	7.6	1.3	6.9	1.2	5.3	1.1	70.1	79.7	24.2
060113	0240	9.4	1.3	8.9	1.1	7.4	1.1	70.8	81.0	24.3
060113	0250	8.7	1.1	8.3	1.4	6.8	1.3	68.2	78.5	24.2
060113	0300	9.4	1.1	8.7	1.1	7.0	1.1	69.0	78.8	24.1
060113	0310	8.8	1.4	8.1	1.4	6.4	1.2	71.4	80.5	24.0
060113	0320	8.8	1.3	8.1	1.1	6.6	1.1	72.9	83.2	24.0
060113	0330	8.5	1.5	8.0	1.3	6.5	1.2	72.1	81.5	24.0
060113	0340	8.6	1.3	8.0	1.3	6.3	1.1	72.7	82.6	24.0
060113	0350	9.0	1.2	8.5	1.0	7.1	1.0	71.8	82.5	24.0
060113	0400	9.3	1.7	8.7	1.4	7.3	1.3	71.7	81.3	23.9
060113	0410	8.8	1.2	8.0	1.2	6.5	1.3	71.9	81.3	23.9
060113	0420	8.2	1.2	7.5	1.2	6.2	1.2	74.6	83.0	23.8
060113	0430	7.9	1.1	7.2	1.0	5.9	1.1	75.5	85.3	23.7
060113	0440	8.3	1.0	7.7	1.2	6.3	1.1	74.0	83.3	23.7
060113	0450	8.3	1.1	7.8	1.3	6.6	1.3	73.0	81.5	23.7
060113	0500	8.5	1.1	7.8	1.1	6.3	1.0	72.5	82.3	23.7
060113	0510	7.6	1.0	7.1	1.0	5.8	1.0	74.3	84.0	23.7
060113	0520	8.3	1.4	7.6	1.4	6.1	1.3	75.0	85.0	23.6
060113	0530	8.4	1.6	8.1	1.5	6.6	1.4	71.8	81.7	23.7
060113	0540	8.9	1.3	8.3	1.3	6.8	1.3	68.0	77.4	23.6
060113	0550	10.1	1.4	9.5	1.6	7.7	1.4	68.3	76.9	23.6
060113	0600	8.7	1.1	8.3	1.2	6.5	1.1	69.9	79.6	23.5
060113	0610	8.3	1.3	7.9	1.2	6.7	1.1	73.1	82.8	23.4
060113	0620	8.0	1.3	7.6	1.3	6.3	1.2	74.3	82.6	23.3
060113	0630	8.0	1.2	7.6	1.0	6.5	1.0	69.8	80.3	23.1
060113	0640	8.2	1.4	7.8	1.4	6.4	1.2	68.8	77.8	22.9
060113	0650	7.2	1.0	6.6	1.0	5.0	1.0	67.1	75.2	22.8
060113	0700	7.6	0.9	7.1	0.9	5.7	1.0	62.5	70.9	22.7
060113	0710	7.6	1.1	7.0	1.0	5.6	0.9	60.1	69.2	22.7
060113	0720	7.1	1.0	6.8	0.9	5.5	0.8	60.3	70.2	22.7
060113	0730	8.0	1.3	7.6	1.2	6.1	1.2	58.1	67.5	22.7
060113	0740	8.2	1.3	7.5	1.2	6.2	1.1	59.2	69.3	22.8
060113	0750	7.7	1.2	7.1	1.1	5.7	1.2	60.1	68.4	22.8
060113	0800	8.0	1.5	7.5	1.3	5.7	1.0	64.9	74.5	23.0
060113	0810	7.5	1.0	7.1	1.0	5.7	1.0	67.9	76.0	23.1
060113	0820	7.5	1.1	7.1	1.1	5.8	1.0	62.2	70.3	23.1
060113	0830	6.4	1.0	6.1	1.1	5.0	1.1	61.8	70.3	23.1
060113	0840	7.2	1.0	6.7	1.0	5.5	1.0	62.7	71.3	23.2
060113	0850	7.0	1.0	6.6	0.9	5.1	0.9	61.4	70.2	23.3
060113	0900	7.5	1.1	7.2	1.0	5.7	1.0	60.7	70.2	23.4
060113	0910	7.5	1.1	7.1	1.0	5.8	0.9	63.7	73.4	23.8
060113	0920	7.8	1.1	7.1	1.0	5.8	0.9	66.6	77.0	24.0
060113	0930	7.3	0.9	7.2	0.9	6.1	1.0	70.2	76.6	24.3
060113	0940	8.0	1.4	7.8	1.4	6.5	1.4	69.8	78.0	24.6
060113	0950	9.3	1.6	8.8	1.5	7.4	1.4	70.8	81.6	24.9
060113	1000	9.1	1.2	8.7	1.2	7.2	1.1	70.5	79.9	25.2
060113	1010	9.0	1.1	8.5	1.1	6.9	1.0	68.3	78.4	25.3
060113	1020	9.1	1.4	8.5	1.5	7.0	1.5	67.5	78.1	25.5
060113	1030	9.2	1.6	8.6	1.8	7.0	1.6	66.1	75.1	25.5
060113	1040	8.4	1.5	8.0	1.3	6.7	1.2	67.6	78.2	25.7
060113	1050	8.6	1.3	8.2	1.3	6.9	1.1	65.6	76.2	25.8
060113	1100	7.8	1.2	7.2	1.2	6.1	1.1	64.1	73.0	25.9
060113	1110	7.2	1.2	6.7	1.0	5.6	1.1	66.0	76.8	26.1
060113	1120	7.9	1.1	7.7	1.0	6.5	1.1	67.4	77.8	26.3
060113	1130	8.4	1.2	8.2	1.2	6.8	1.3	67.4	78.7	26.5
060113	1140	8.4	1.1	8.1	1.1	6.9	1.1	67.0	75.9	26.7
