Date	Time	50mWS	50mSD	30mWS	30mSD	10mWS	10mSD	50mDIR	30mDIR	TEMP
030813	1610	2.7	0.3	2.5	0.3	2.3	0.4	237.5	225.2	29.6
030813	1620	2.7	0.4	2.5	0.4	1.5	0.7	223.5	233.5	29.8
030813	1630	2.3	0.5	2.2	0.5	1.7	0.7	219.9	252.6	29.7
030813	1640	3.2	0.3	2.7	0.4	1.8	0.5	229.1	237.5	29.6
030813	1650	3.3	0.2	2.8	0.3	1.7	0.4	229.4	237.8	29.5
030813	1700	3.6	0.4	2.9	0.4	1.6	0.5	223.3	230.5	29.3
030813	1710	3.9	0.3	3.0	0.5	1.9	0.5	223.7	231.0	29.1
030813	1720	4.7	0.4	3.6	0.5	2.2	0.6	223.6	231.9	28.7
030813	1730	4.9	0.4	3.8	0.5	1.7	0.5	221.5	228.7	28.5
030813	1740	4.8	0.4	3.7	0.4	1.3	0.5	212.9	222.6	28.2
030813	1750	4.6	0.4	3.5	0.6	1.5	0.6	212.8	220.1	27.9
030813	1800	5.0	0.5	3.4	0.5	1.3	0.7	212.9	217.9	27.8
030813	1810	5.2	0.4	3.6	0.4	1.1	0.6	213.0	218.3	27.5
030813	1820	5.3	0.3	3.6	0.4	1.1	0.6	214.7	219.4	27.1
030813	1830	5.1	0.3	3.4	0.4	0.8	0.5	215.1	219.7	26.7
030813	1840	4.8	0.3	3.0	0.3	0.5	0.3	216.4	220.0	26.4
030813	1850	4.7	0.2	3.0	0.3	0.6	0.4	216.8	221.3	26.1
030813	1900	4.9	0.2	3.5	0.2	0.7	0.4	215.7	219.4	25.8
030813	1910	5.4	0.2	3.9	0.3	0.4	0.2	218.5	224.4	25.5
030813	1920	5.5	0.2	3.9	0.2	0.5	0.3	218.1	223.9	25.2
030813	1930	5.9	0.3	4.1	0.3	0.6	0.4	221.3	224.8	24.9
030813	1940	6.2	0.2	4.2	0.3	1.3	0.5	228.1	231.9	24.6
030813	1950	6.3	0.3	4.4	0.3	2.0	0.4	231.1	238.6	24.3
030813	2000	6.9	0.2	4.7	0.3	2.2	0.4	232.2	238.6	24.1
030813	2010	6.5	0.3	4.6	0.3	1.6	0.4	232.2	236.7	23.9
030813	2020	6.0	0.2	4.2	0.3	1.2	0.4	229.2	230.0	23.7
030813	2030	6.3	0.2	4.5	0.3	1.2	0.4	227.4	228.8	23.4
030813	2040	6.8	0.2	4.7	0.3	1.3	0.4	229.6	229.6	23.3
030813	2050	6.6	0.2	4.5	0.3	1.4	0.4	229.7	229.4	23.1
030813	2100	6.1	0.3	3.9	0.3	0.6	0.4	229.3	227.8	22.6
030813	2110	5.7	0.1	3.6	0.3	0.3	0.1	227.8	227.4	22.3
030813	2120	5.8	0.2	3.6	0.3	0.5	0.3	228.7	226.0	22.1
030813	2130	5.6	0.2	3.4	0.3	0.6	0.4	226.9	220.6	22.3
030813	2140	5.4	0.2	3.2	0.3	0.3	0.0	227.2	220.4	22.1
030813	2150	5.4	0.2	3.1	0.2	0.3	0.0	231.5	232.8	21.9
030813	2200	5.4	0.2	2.9	0.2	0.3	0.0	231.7	236.0	21.4
030813	2210	5.4	0.2	2.9	0.2	0.3	0.0	231.2	235.9	20.9
