Date	Time	50mWS	50mSD	30mWS	30mSD	10mWS	10mSD	50mDIR	30mDIR	TEMP
050113	0000	0.7	0.6	1.1	0.7	0.3	0.0	20.2	32.7	28.3
050113	0010	0.3	0.1	0.9	0.5	0.3	0.0	19.5	33.2	28.2
050113	0020	0.6	0.5	1.6	0.5	0.6	0.5	13.4	32.6	28.0
050113	0030	0.7	0.5	1.6	0.5	0.6	0.4	328.3	32.4	27.8
050113	0040	0.9	0.4	2.0	0.3	0.4	0.2	328.3	32.4	27.8
050113	0050	2.0	0.4	2.6	0.5	0.4	0.1	328.7	31.9	27.5
050113	0100	2.5	0.8	2.4	0.4	0.3	0.0	328.3	31.7	27.4
050113	0110	3.2	0.4	2.5	0.4	0.5	0.4	339.9	15.1	27.2
050113	0120	3.4	0.4	2.6	0.5	0.5	0.4	339.4	350.3	27.4
050113	0130	3.1	0.2	2.5	0.6	0.3	0.0	346.6	345.7	27.3
050113	0140	3.1	0.4	2.3	0.4	0.6	0.6	353.2	355.3	27.2
050113	0150	4.7	0.7	4.2	0.6	2.3	0.6	31.0	47.4	27.1
050113	0200	4.8	0.5	4.0	0.4	2.0	0.7	36.2	44.3	27.4
050113	0210	5.3	0.4	4.4	0.5	2.3	0.5	44.7	53.4	27.7
050113	0220	5.1	0.7	4.4	0.6	2.9	0.5	50.5	59.2	28.1
050113	0230	5.5	0.6	4.9	0.6	3.6	0.5	61.1	68.4	28.0
050113	0240	5.8	0.6	5.2	0.7	3.7	0.7	66.3	75.5	27.7
050113	0250	5.1	0.6	4.4	0.6	3.0	0.5	64.6	73.3	27.5
050113	0300	5.3	0.7	4.5	0.6	3.1	0.5	67.8	76.6	27.3
050113	0310	5.2	0.6	4.3	0.5	3.0	0.6	64.1	73.2	27.3
050113	0320	5.2	0.6	4.6	0.5	3.1	0.5	64.1	74.1	27.1
050113	0330	5.0	0.6	4.2	0.6	2.8	0.5	59.9	71.0	27.0
050113	0340	5.1	0.6	4.4	0.6	3.0	0.5	56.5	67.1	26.9
050113	0350	4.8	0.7	4.2	0.7	3.1	0.6	56.7	65.0	26.9
050113	0400	4.9	0.7	4.1	0.6	2.9	0.6	59.7	68.8	26.8
050113	0410	5.4	0.8	4.6	0.8	3.2	0.6	68.7	77.4	27.0
050113	0420	5.4	0.8	4.6	0.7	3.2	0.8	72.0	80.0	27.0
050113	0430	4.3	0.6	3.8	0.5	2.7	0.5	78.9	86.2	26.9
050113	0440	4.5	0.7	4.2	0.7	3.0	0.8	75.9	84.7	26.8
050113	0450	3.9	0.6	3.5	0.6	2.4	0.7	74.6	81.2	26.8
050113	0500	3.7	0.6	3.3	0.5	2.1	0.5	67.7	73.5	26.6
050113	0510	3.6	0.6	3.0	0.5	1.7	0.5	64.1	71.6	26.5
050113	0520	3.5	0.5	2.9	0.4	1.5	0.6	56.4	65.8	26.3
050113	0530	3.7	0.4	3.0	0.4	1.4	0.5	62.5	68.7	26.2
050113	0540	3.4	0.6	2.7	0.6	1.1	0.6	64.3	72.7	26.2
050113	0550	4.1	0.7	3.3	0.6	1.8	0.7	69.9	77.6	26.2
050113	0600	4.8	0.7	4.2	0.6	2.8	0.6	74.2	79.9	26.4
050113	0610	4.7	0.6	3.8	0.5	2.5	0.5	69.5	75.9	26.3
