Date	Time	50mWS	50mSD	30mWS	30mSD	10mWS	10mSD	50mDIR	30mDIR	TEMP
100113	0040	4.2	0.5	3.2	0.5	1.4	0.4	50.7	54.9	26.0
100113	0050	4.0	0.4	3.1	0.4	1.7	0.4	51.9	58.8	26.0
100113	0100	2.9	0.8	2.1	0.5	0.9	0.5	33.7	56.1	26.1
100113	0110	2.7	0.3	2.2	0.4	0.4	0.2	14.6	54.6	25.7
100113	0120	2.8	0.3	2.2	0.3	0.4	0.1	18.4	54.3	25.4
100113	0130	2.8	0.3	2.2	0.4	0.6	0.4	24.0	54.3	25.3
100113	0140	3.1	0.3	2.5	0.2	1.0	0.5	28.2	54.2	25.3
100113	0150	3.6	0.5	2.8	0.4	1.4	0.6	47.9	52.6	25.3
100113	0200	3.4	0.3	2.7	0.3	1.3	0.4	47.6	52.4	25.6
100113	0210	2.8	0.4	2.1	0.3	1.0	0.5	39.1	52.6	25.8
100113	0220	2.6	0.2	1.8	0.3	0.6	0.4	11.7	52.4	25.6
100113	0230	2.7	0.3	1.9	0.3	0.8	0.5	18.4	52.3	25.4
100113	0240	2.7	0.4	2.2	0.3	0.8	0.5	32.8	52.2	25.1
100113	0250	2.7	0.3	2.3	0.3	0.7	0.5	32.7	52.2	25.0
100113	0300	3.3	0.7	2.4	0.5	0.8	0.5	54.0	55.3	25.1
100113	0310	3.6	0.4	2.8	0.4	1.5	0.3	65.2	67.5	25.4
100113	0320	3.8	0.4	2.9	0.3	1.3	0.4	72.2	76.4	25.5
100113	0330	3.6	0.4	2.9	0.3	1.6	0.4	74.2	81.2	25.6
100113	0340	3.4	0.3	2.9	0.3	1.6	0.3	59.1	64.7	25.6
100113	0350	3.6	0.6	2.9	0.3	1.6	0.3	58.8	60.0	25.4
100113	0400	3.4	0.3	2.7	0.3	1.5	0.2	48.4	57.9	25.4
100113	0410	3.3	0.4	2.5	0.4	1.2	0.5	39.4	46.8	25.4
100113	0420	3.7	0.5	2.9	0.4	1.2	0.6	45.8	48.4	25.3
100113	0430	4.2	0.5	3.3	0.4	1.8	0.3	55.9	62.4	25.4
100113	0440	4.3	0.4	3.3	0.3	1.6	0.3	58.3	63.9	25.5
100113	0450	3.9	0.5	3.0	0.4	1.4	0.3	58.6	63.7	25.6
100113	0500	3.8	0.3	3.0	0.3	1.6	0.3	58.1	63.6	25.6
100113	0510	4.0	0.3	3.1	0.3	1.7	0.3	58.3	63.1	25.6
100113	0520	3.9	0.4	3.1	0.3	1.7	0.4	54.1	58.7	25.5
100113	0530	3.8	0.2	2.9	0.3	1.5	0.3	49.0	56.1	25.4
100113	0540	3.5	0.3	2.6	0.3	1.2	0.3	42.0	55.8	25.3
100113	0550	3.2	0.3	2.5	0.3	1.0	0.4	36.6	55.6	25.2
100113	0600	4.3	0.5	3.2	0.4	1.5	0.4	50.0	55.7	25.1
100113	0610	4.4	0.5	3.1	0.4	1.5	0.3	54.1	60.2	25.2
100113	0620	4.2	0.3	2.9	0.2	1.1	0.4	52.1	60.5	25.2
100113	0630	3.6	0.3	2.5	0.4	0.7	0.4	51.8	60.6	25.1
100113	0640	3.3	0.2	2.2	0.2	1.1	0.3	46.1	60.5	25.2
100113	0650	3.6	0.4	2.6	0.3	1.0	0.4	42.3	60.1	25.2
100113	0700	3.5	0.3	2.6	0.2	1.2	0.4	39.9	59.9	25.2
100113	0710	3.9	0.4	2.8	0.4	1.2	0.3	36.7	57.6	25.2
100113	0720	3.9	0.3	3.1	0.5	1.7	0.3	27.4	42.6	25.3
100113	0730	3.6	0.3	2.9	0.3	1.3	0.6	25.2	38.7	25.4
100113	0740	3.3	0.3	2.5	0.4	0.9	0.5	32.2	25.3	25.5
100113	0750	2.5	0.3	1.6	0.2	0.4	0.1	26.6	24.7	25.5
100113	0800	2.6	0.2	1.7	0.2	0.5	0.4	17.3	24.2	25.6
100113	0810	2.5	0.2	1.8	0.4	0.6	0.4	18.2	24.2	25.7
100113	0820	2.9	0.3	2.1	0.3	0.6	0.4	8.8	24.2	25.9
100113	0830	3.0	0.3	2.3	0.3	1.3	0.7	4.0	24.1	26.2
100113	0840	2.7	0.5	2.1	0.5	1.1	0.6	23.0	30.7	26.5
100113	0850	3.0	0.4	2.3	0.4	1.7	0.5	33.8	31.2	27.1
100113	0900	2.2	0.4	2.0	0.4	1.6	0.5	31.4	31.7	27.8
100113	0910	2.6	0.7	2.4	0.8	1.9	0.8	50.1	56.2	28.8
100113	0920	3.4	0.6	3.4	0.5	3.0	0.5	59.0	73.5	29.3
