Date	Time	50mWS	50mSD	30mWS	30mSD	10mWS	10mSD	50mDIR	30mDIR	TEMP
090113	0000	0.3	0.0	0.3	0.0	0.3	0.0	359.9	2.1	27.4
090113	0010	0.3	0.0	0.3	0.0	0.3	0.0	359.9	2.1	27.4
090113	0020	0.3	0.0	0.3	0.0	0.3	0.0	359.9	2.1	27.3
090113	0030	0.7	0.5	0.5	0.4	0.5	0.3	359.9	2.1	27.3
090113	0040	1.4	0.4	0.5	0.3	0.6	0.4	359.9	2.1	27.3
090113	0050	1.1	0.6	0.6	0.4	0.8	0.5	359.9	1.9	27.3
090113	0100	0.8	0.4	0.3	0.1	0.5	0.3	359.9	1.8	27.3
090113	0110	0.7	0.5	0.5	0.4	0.5	0.4	359.9	1.7	27.3
090113	0120	2.3	0.5	2.1	0.4	1.7	0.4	354.3	1.4	27.2
090113	0130	2.2	0.3	1.2	0.6	0.9	0.6	337.8	1.3	27.1
090113	0140	2.0	0.3	0.8	0.5	0.6	0.4	341.1	1.4	27.1
090113	0150	0.9	0.5	0.3	0.1	0.3	0.0	341.4	1.4	27.0
090113	0200	0.3	0.0	0.3	0.0	0.3	0.0	341.4	1.4	27.0
090113	0210	0.3	0.0	0.3	0.0	0.3	0.0	341.4	1.5	27.0
090113	0220	0.3	0.0	0.3	0.0	0.3	0.0	341.4	1.5	26.9
090113	0230	0.3	0.0	0.3	0.0	0.3	0.0	341.4	1.5	26.9
090113	0240	0.3	0.0	0.3	0.0	0.3	0.0	341.4	1.5	26.9
090113	0250	0.3	0.0	0.3	0.0	0.3	0.0	341.4	1.4	26.9
090113	0300	0.3	0.0	0.3	0.0	0.3	0.0	341.3	1.4	27.0
090113	0310	0.3	0.0	0.3	0.0	0.3	0.0	341.3	1.4	27.0
090113	0320	0.3	0.0	0.3	0.0	0.3	0.0	341.3	1.4	27.0
090113	0330	0.3	0.0	0.3	0.0	0.3	0.0	341.4	1.4	26.9
090113	0340	0.3	0.0	0.3	0.0	0.3	0.0	341.4	1.5	27.0
090113	0350	0.3	0.0	0.3	0.0	0.3	0.0	341.4	1.5	26.9
090113	0400	0.3	0.0	0.3	0.0	0.3	0.0	341.4	1.5	26.9
090113	0410	0.3	0.0	0.3	0.0	0.3	0.0	341.4	1.4	26.8
090113	0420	0.3	0.0	0.3	0.0	0.4	0.2	341.4	1.5	26.8
090113	0430	0.3	0.0	0.3	0.0	0.4	0.2	341.8	1.5	26.7
