Date	Time	50mWS	50mSD	30mWS	30mSD	10mWS	10mSD	50mDIR	30mDIR	TEMP
040114	0000	2.4	0.5	1.8	0.4	0.4	0.2	275.9	281.0	31.8
040114	0010	3.0	0.2	2.4	0.2	0.3	0.0	275.7	278.4	31.6
040114	0020	2.7	0.6	2.2	0.5	0.5	0.3	283.4	289.0	31.6
040114	0030	2.1	0.2	1.0	0.5	0.3	0.0	318.4	290.6	31.6
040114	0040	2.6	0.3	1.9	0.4	0.3	0.0	322.5	290.8	31.2
040114	0050	2.8	0.2	2.2	0.2	0.3	0.0	322.0	290.9	30.6
040114	0100	2.3	0.3	1.4	0.5	0.3	0.0	322.2	290.9	29.9
040114	0110	1.5	0.4	0.5	0.4	0.3	0.0	308.6	290.7	29.4
040114	0120	0.6	0.4	0.3	0.0	0.3	0.0	301.6	290.7	28.8
040114	0130	1.1	0.4	1.0	0.5	0.3	0.0	296.3	289.8	28.2
040114	0140	1.4	0.2	1.5	0.2	0.3	0.0	264.6	282.2	27.4
040114	0150	0.7	0.4	1.0	0.4	0.3	0.0	262.5	282.2	27.0
040114	0200	1.0	0.6	1.5	0.6	0.3	0.0	262.3	282.0	26.7
040114	0210	2.0	0.2	2.6	0.2	0.3	0.0	252.4	281.5	26.1
040114	0220	1.8	0.3	2.1	0.3	0.3	0.0	223.3	281.5	25.8
040114	0230	2.1	0.2	2.3	0.2	0.3	0.0	223.0	281.5	25.9
040114	0240	2.5	0.2	2.6	0.2	0.3	0.0	223.0	281.3	25.9
040114	0250	2.6	0.1	2.8	0.2	0.3	0.0	223.1	260.2	25.1
040114	0300	3.2	0.4	3.6	0.3	0.6	0.4	223.6	220.6	24.7
040114	0310	3.8	0.1	4.0	0.2	1.1	0.6	218.9	221.0	25.9
040114	0320	4.3	0.3	4.7	0.3	1.6	0.6	213.2	217.4	26.3
040114	0330	4.6	0.1	4.8	0.2	1.8	0.5	206.1	213.6	26.0
040114	0340	4.9	0.2	5.3	0.3	2.5	0.5	198.9	205.7	25.7
040114	0350	5.1	0.2	5.5	0.2	2.5	0.5	195.6	199.8	25.4
040114	0400	5.2	0.2	5.2	0.2	2.1	0.4	191.9	200.1	25.4
040114	0410	5.4	0.2	5.3	0.2	2.2	0.5	187.7	196.7	25.4
040114	0420	5.5	0.2	5.2	0.2	2.1	0.4	189.0	198.2	25.5
040114	0430	5.7	0.2	5.1	0.2	1.7	0.4	190.0	200.1	25.6
040114	0440	6.3	0.3	5.0	0.2	1.8	0.5	188.0	199.2	25.3
