Date	Time	50mWS	50mSD	30mWS	30mSD	10mWS	10mSD	50mDIR	30mDIR	TEMP
020514	1730	2.1	0.3	1.3	0.5	0.8	0.5	191.4	187.5	20.9
020514	1740	2.0	0.4	1.3	0.6	0.5	0.4	194.3	186.3	20.6
020514	1750	1.3	0.5	0.8	0.6	0.6	0.5	193.9	185.3	20.4
020514	1800	0.9	0.5	0.3	0.1	0.3	0.0	193.9	185.2	20.2
020514	1810	0.7	0.4	0.3	0.0	0.3	0.0	193.7	185.1	19.9
020514	1820	1.6	0.2	0.7	0.4	0.3	0.1	193.5	184.9	19.7
020514	1830	1.7	0.2	0.9	0.3	0.3	0.0	193.5	185.0	19.5
020514	1840	2.5	0.2	2.1	0.4	0.4	0.2	194.4	185.3	19.2
020514	1850	2.5	0.2	2.3	0.2	0.5	0.3	204.7	204.5	18.9
020514	1900	2.4	0.2	1.9	0.2	0.5	0.3	200.4	203.9	18.5
020514	1910	2.8	0.3	2.3	0.3	1.3	0.3	199.2	203.6	18.4
020514	1920	3.3	0.3	3.0	0.2	1.4	0.4	210.0	204.0	18.5
020514	1930	4.0	0.3	3.5	0.3	1.0	0.6	220.1	217.5	18.4
020514	1940	4.8	0.2	4.3	0.3	0.8	0.5	225.9	230.4	18.2
020514	1950	5.5	0.2	4.8	0.3	1.0	0.5	222.7	230.0	18.0
020514	2000	5.3	0.2	4.1	0.5	0.9	0.6	225.6	232.3	17.8
020514	2010	4.2	0.6	2.4	0.6	0.7	0.5	232.4	238.9	17.3
020514	2020	3.2	0.4	1.8	0.4	0.8	0.4	243.0	239.2	16.6
020514	2030	4.3	0.3	2.2	0.2	0.4	0.1	244.3	239.3	16.2
020514	2040	4.6	0.3	2.8	0.4	0.8	0.4	247.1	239.5	15.9
020514	2050	4.4	0.2	2.8	0.2	1.3	0.2	248.5	239.5	15.8
020514	2100	4.4	0.3	2.8	0.3	1.2	0.3	250.3	239.5	16.0
020514	2110	4.4	0.2	3.1	0.2	1.1	0.3	256.3	239.7	16.3
020514	2120	4.4	0.3	2.9	0.3	1.0	0.5	271.4	240.4	15.9
020514	2130	3.9	0.6	3.3	0.8	1.5	0.8	302.0	307.4	15.6
020514	2140	3.7	0.2	3.0	0.3	0.9	0.6	308.4	325.7	15.6
020514	2150	3.9	0.2	3.3	0.2	0.3	0.1	301.3	320.2	15.5
020514	2200	3.9	0.3	3.0	0.3	0.4	0.1	299.5	319.8	15.3
020514	2210	3.9	0.3	2.7	0.3	0.5	0.3	317.1	320.9	15.2
020514	2220	3.7	0.2	1.9	0.5	0.3	0.1	333.9	324.2	15.2
020514	2230	3.4	0.3	1.7	0.3	0.3	0.0	335.4	341.7	15.1
020514	2240	3.8	0.2	1.5	0.4	0.4	0.1	336.5	353.5	15.0
020514	2250	3.7	0.2	1.6	0.6	0.3	0.0	332.2	353.0	14.9
020514	2300	3.4	0.2	1.5	0.3	0.3	0.0	329.0	351.9	14.8
020514	2310	3.6	0.2	1.7	0.3	0.3	0.0	330.9	351.9	14.7
020514	2320	3.9	0.2	2.2	0.2	0.3	0.0	331.6	348.8	14.5
020514	2330	4.1	0.2	2.5	0.2	0.3	0.0	336.1	347.5	14.3
020514	2340	4.0	0.2	2.8	0.2	0.5	0.3	332.3	344.5	14.2
020514	2350	3.9	0.2	2.6	0.2	0.4	0.1	330.0	344.2	13.9
020614	0000	3.5	0.4	2.2	0.2	0.3	0.0	329.4	341.5	13.9
020614	0010	2.7	0.2	1.7	0.2	0.3	0.0	321.5	339.5	14.0
020614	0020	2.4	0.3	1.5	0.2	0.3	0.0	306.3	333.1	14.3
020614	0030	1.7	0.2	0.5	0.4	0.3	0.0	297.1	331.0	14.3
020614	0040	1.7	0.3	0.3	0.0	0.3	0.0	296.5	331.0	13.9
020614	0050	1.2	0.3	0.3	0.0	0.3	0.0	296.6	331.0	13.4
020614	0100	1.7	0.7	1.3	0.3	1.2	0.5	296.3	290.8	13.8
020614	0110	2.4	0.4	1.9	0.3	1.1	0.5	296.0	276.8	13.6
020614	0120	3.2	0.2	2.5	0.3	1.9	0.5	240.2	229.1	13.6
020614	0130	3.2	0.2	2.7	0.3	1.2	0.5	235.6	219.2	13.5
020614	0140	3.7	0.3	3.3	0.4	1.4	0.5	231.6	223.3	13.5
020614	0150	4.2	0.2	3.6	0.3	0.6	0.4	230.7	225.5	13.3
020614	0200	4.4	0.3	2.8	0.3	0.3	0.0	228.1	219.6	13.0
020614	0210	4.5	0.2	2.7	0.3	0.5	0.4	224.0	211.1	12.8
020614	0220	4.4	0.2	3.1	0.4	1.0	0.6	212.1	198.9	12.6
020614	0230	4.8	0.3	3.1	0.4	1.3	0.7	201.1	198.3	12.6
020614	0240	5.0	0.2	3.1	0.6	0.8	0.6	210.9	214.1	12.7
020614	0250	5.4	0.3	3.1	0.5	0.4	0.2	217.4	218.0	12.7
020614	0300	5.2	0.4	2.0	0.5	0.8	0.5	217.7	223.5	12.6
020614	0310	4.9	0.4	2.5	0.5	1.5	0.5	224.6	233.6	12.5
020614	0320	2.7	1.1	1.5	0.7	0.7	0.5	231.5	234.0	12.4
020614	0330	1.4	0.6	0.7	0.5	0.6	0.4	271.6	234.3	12.5
020614	0340	1.4	0.5	0.7	0.4	0.4	0.1	282.3	234.3	12.5
020614	0350	1.7	0.6	0.8	0.5	1.0	0.5	263.8	234.3	12.6
020614	0400	1.3	0.6	1.1	0.5	1.4	0.6	257.7	234.4	12.5
020614	0410	1.3	0.7	1.3	0.7	1.7	0.6	242.0	234.4	12.5
020614	0420	1.7	0.6	1.5	0.6	1.6	0.6	265.4	234.4	12.5
020614	0430	1.0	0.6	0.9	0.5	0.8	0.5	278.9	234.5	12.5
020614	0440	0.3	0.2	0.4	0.3	0.5	0.3	293.5	234.4	12.4
020614	0450	0.4	0.2	0.4	0.2	0.5	0.3	298.2	234.4	12.3
020614	0500	1.4	0.4	1.0	0.4	0.9	0.5	297.8	234.4	12.3
020614	0510	0.9	0.5	0.9	0.4	0.9	0.5	296.9	234.4	12.3
020614	0520	0.6	0.4	0.4	0.2	0.4	0.2	294.2	234.4	12.3
020614	0530	1.0	0.6	0.6	0.4	0.5	0.4	271.2	234.4	12.4
