Date	Time	50mWS	50mSD	30mWS	30mSD	10mWS	10mSD	50mDIR	30mDIR	TEMP
010114	0000	0.7	0.5	0.3	0.0	0.3	0.0	283.0	273.2	14.9
010114	0010	0.3	0.0	0.3	0.0	0.3	0.0	283.0	273.2	14.8
010114	0020	1.5	0.5	0.3	0.0	0.3	0.0	283.2	273.2	14.8
010114	0030	2.3	0.2	0.3	0.0	0.3	0.0	283.7	273.2	14.6
010114	0040	1.5	0.5	0.3	0.0	0.3	0.0	283.7	273.2	14.5
010114	0050	1.1	0.3	0.3	0.0	0.3	0.0	283.7	273.1	14.5
010114	0100	1.0	0.4	0.3	0.0	0.3	0.0	283.7	273.1	14.5
010114	0110	1.5	0.4	0.6	0.5	0.4	0.3	283.4	272.8	14.5
010114	0120	2.6	0.2	1.8	0.2	0.4	0.1	282.5	259.7	14.5
010114	0130	3.4	0.5	2.9	0.5	0.5	0.3	263.4	245.9	14.6
010114	0140	4.0	0.7	2.8	0.9	0.9	0.7	240.8	242.5	14.5
010114	0150	4.0	0.3	2.2	0.3	0.8	0.5	248.0	245.8	14.4
010114	0200	4.2	0.3	2.1	0.2	0.4	0.1	253.0	246.9	14.4
010114	0210	4.3	0.2	2.4	0.2	0.4	0.1	262.4	257.3	14.3
010114	0220	3.7	0.2	1.0	0.7	0.3	0.0	263.2	258.0	14.3
010114	0230	3.7	0.2	1.3	0.5	0.3	0.0	263.4	258.0	14.3
010114	0240	3.9	0.2	2.0	0.2	0.3	0.0	264.6	258.0	14.3
010114	0250	4.3	0.2	2.1	0.3	0.3	0.0	279.2	258.1	14.3
010114	0300	3.7	0.6	1.4	0.8	0.3	0.0	284.3	258.1	14.3
010114	0310	2.7	0.2	1.0	0.5	0.3	0.0	274.3	257.4	14.3
010114	0320	2.4	0.3	0.4	0.3	0.3	0.0	274.2	257.0	14.3
010114	0330	2.6	0.2	0.6	0.5	0.3	0.0	274.2	257.1	14.1
010114	0340	3.2	0.4	1.8	0.3	0.3	0.0	274.2	256.8	14.0
010114	0350	4.1	0.3	2.2	0.2	0.5	0.4	274.2	257.9	13.7
010114	0400	4.8	0.3	3.0	0.3	1.3	0.5	278.0	258.2	13.5
010114	0410	4.3	0.3	2.2	0.4	0.5	0.3	274.3	258.0	13.5
010114	0420	4.4	0.3	2.0	0.4	0.3	0.0	272.4	257.9	13.4
010114	0430	4.5	0.3	2.3	0.3	0.4	0.2	263.3	257.8	13.3
010114	0440	4.6	0.2	2.7	0.3	0.4	0.2	269.3	258.2	13.1
010114	0450	4.2	0.3	2.5	0.3	0.8	0.5	266.6	258.0	13.1
010114	0500	5.0	0.3	3.2	0.4	2.2	0.4	257.9	260.3	13.2
010114	0510	4.3	0.3	2.7	0.3	1.4	0.4	257.5	256.0	13.3
010114	0520	4.4	0.2	2.6	0.3	0.9	0.5	262.0	262.0	13.1
