Date	Time	50mWS	50mSD	30mWS	30mSD	10mWS	10mSD	50mDIR	30mDIR	Temp																																			
060114	0000	4.1	0.5	3.2	0.5	2.4	0.7	63.8	74.1	28.1	 																																		
060114	0010	4.0	0.5	2.8	0.6	1.8	0.7	55.2	64.9	27.9	 																																		
060114	0020	4.0	0.4	3.3	0.5	2.3	0.6	53.5	62.2	27.9	 																																		
060114	0030	4.2	0.4	3.3	0.4	2.0	0.5	50.4	61.4	27.8	 																																		
060114	0040	4.0	0.4	3.1	0.5	2.0	0.7	44.7	53.8	27.8	 																																		
060114	0050	3.5	0.5	2.4	0.6	1.5	0.7	43.1	52.6	27.8	 																																		
060114	0100	3.9	0.5	3.0	0.6	1.9	0.6	51.8	64.3	27.8	 																																		
060114	0110	4.3	0.5	3.6	0.5	2.5	0.7	53.6	64.9	27.7	 																																		
060114	0120	4.4	0.7	3.4	0.6	2.4	0.6	51.8	60.7	27.7	 																																		
060114	0130	4.6	0.6	3.6	0.7	2.5	0.6	49.1	57.3	27.7	 																																		
060114	0140	4.2	0.5	3.2	0.6	2.0	0.7	46.4	55.0	27.6	 																																		
060114	0150	4.2	0.6	3.2	0.6	2.3	0.6	50.8	57.8	27.5	 																																		
060114	0200	4.4	0.6	3.6	0.7	2.4	0.7	54.3	62.7	27.5	 																																		
060114	0210	4.4	0.7	3.8	0.7	2.6	0.6	54.0	64.2	27.5	 																																		
060114	0220	4.3	0.6	3.3	0.5	2.3	0.5	56.5	64.9	27.4	 																																		
060114	0230	4.5	0.6	3.7	0.6	2.7	0.6	56.3	67.2	27.4	 																																		
060114	0240	4.1	0.5	3.3	0.6	2.3	0.6	52.9	64.1	27.3	 																																		
060114	0250	4.3	0.6	3.2	0.7	2.2	0.6	45.4	57.4	27.3	 																																		
060114	0300	3.7	0.6	3.0	0.7	2.1	0.7	44.5	55.0	27.3	 																																		
060114	0310	3.3	0.7	2.4	0.6	1.5	0.8	40.9	50.8	27.4	 																																		
060114	0320	3.4	0.5	2.6	0.5	1.8	0.7	38.7	46.9	27.5	 																																		
060114	0330	3.4	0.7	2.6	0.6	1.7	0.7	43.4	51.3	27.7	 																																		
060114	0340	3.8	0.7	3.0	0.8	2.1	0.9	45.5	57.7	27.7	 																																		
060114	0350	4.3	0.6	3.6	0.6	2.7	0.7	46.2	56.2	27.8	 																																		
060114	0400	3.6	0.5	3.1	0.7	2.5	0.6	55.9	64.5	27.8	 																																		
060114	0410	3.9	0.6	3.6	0.7	2.8	0.7	60.1	70.2	27.8	 																																		
060114	0420	4.1	0.6	3.5	0.7	2.8	0.6	65.7	74.9	27.8	 																																		
060114	0430	4.0	0.7	3.6	0.5	2.9	0.7	67.7	76.3	28.0	 																																		
060114	0440	4.1	0.8	3.8	0.8	3.1	0.7	61.8	70.4	28.3	 																																		
060114	0450	3.5	0.5	3.1	0.5	2.5	0.6	57.0	66.2	28.3	 																																		
060114	0500	5.8	0.8	5.3	0.8	4.2	0.8	66.5	76.1	28.3	 																																		
060114	0510	5.3	0.9	4.8	0.8	3.8	0.8	66.7	78.4	28.4	 																																		
060114	0520	5.1	0.8	4.9	0.7	4.1	0.7	67.7	79.0	28.5	 																																		
060114	0530	4.8	0.7	4.4	0.6	3.4	0.7	58.1	68.6	28.8	 																																		
060114	0540	5.1	0.8	4.6	0.9	3.7	0.8	58.1	68.6	28.9	 																																		
060114	0550	6.1	0.7	5.7	0.8	4.6	0.9	67.4	77.9	28.9	 																																		
060114	0600	5.9	0.9	5.4	0.9	4.5	0.8	71.3	81.5	29.2	 																																		
060114	0610	5.2	0.8	4.7	0.8	4.0	0.9	67.2	79.5	29.9	 																																		
060114	0620	6.5	0.8	6.2	0.9	5.0	0.8	67.1	79.0	29.8	 																																		
060114	0630	5.9	1.0	5.6	1.0	4.7	1.0	59.0	71.3	29.5	 																																		
060114	0640	5.0	0.7	4.8	0.8	3.9	0.7	65.3	79.0	29.7	 																																		
060114	0650	5.2	1.5	4.8	1.4	3.9	1.2	64.0	75.3	30.0	 																																		
060114	0700	5.5	1.1	5.1	1.1	4.1	1.1	68.3	79.5	30.0	 																																		
060114	0710	6.0	0.6	5.8	0.7	4.8	0.8	63.8	74.8	30.3	 																																		
060114	0720	5.7	0.8	5.5	1.0	4.5	0.7	67.7	76.8	30.3	 																																		
060114	0730	6.7	0.8	6.4	1.0	5.1	0.9	67.4	78.6	30.4	 																																		
