Date	Time	50mWS	50mSD	30mWS	30mSD	10mWS	10mSD	50mDIR	30mDIR	Temp
080115	0000	2.5	0.4	2	0.4	1.1	0.6	271	284	47.6
080115	0010	2.3	0.4	1.8	0.4	0.8	0.4	255	276	47.6
080115	0020	1.9	0.4	1.3	0.5	0.6	0.5	223	255	47.5
080115	0030	2.7	0.5	1.9	0.5	0.7	0.5	244	271	47.4
080115	0040	2.7	0.5	1.9	0.7	1	0.7	167	209	47.3
080115	0050	2.2	0.7	1.4	0.7	0.7	0.5	356	164	47.2
080115	0100	1.6	0.5	0.6	0.4	0.3	0.1	350	206	47.2
080115	0110	0.7	0.5	0.4	0.3	0.3	0.1	350	349	47.2
080115	0120	0.5	0.3	0.4	0.2	0.3	0	350	349	46.9
080115	0130	0.6	0.4	0.5	0.4	0.4	0.3	350	349	47
080115	0140	1	0.4	1	0.5	0.7	0.4	347	349	47.1
080115	0150	1.3	0.3	0.8	0.3	0.3	0	348	349	47.1
080115	0200	1.3	0.3	0.8	0.4	0.3	0	348	349	47
080115	0210	0.5	0.3	0.3	0	0.3	0	348	349	47
080115	0220	0.8	0.3	0.4	0.2	0.3	0	348	350	46.8
080115	0230	0.3	0	0.3	0	0.3	0	348	350	46.6
080115	0240	0.8	0.3	0.9	0.2	0.4	0.2	347	349	46.7
080115	0250	1.7	0.4	1.6	0.3	0.8	0.4	347	349	46.7
080115	0300	1.8	0.3	1.6	0.3	0.7	0.4	348	349	46.9
080115	0310	1.6	0.3	0.6	0.4	0.3	0	348	349	47.2
080115	0320	1.9	0.4	1	0.5	0.3	0	348	349	47.2
080115	0330	1.6	0.4	0.9	0.3	0.3	0	348	349	47.2
080115	0340	1.8	0.4	0.7	0.3	0.3	0	348	349	47.2
080115	0350	2.2	0.2	1.3	0.3	0.5	0.4	348	349	47.3
080115	0400	2.6	0.3	2	0.3	1.4	0.6	347	349	47.2
080115	0410	2.8	0.5	2	0.3	1.2	0.4	348	347	47.2
080115	0420	2.5	0.4	1.7	0.4	0.9	0.5	348	347	47.2
080115	0430	3.1	0.4	2.2	0.5	1.2	0.6	348	348	47.2
080115	0440	2.3	0.5	1.7	0.4	0.6	0.4	348	348	47.2
080115	0450	2.6	0.4	2.1	0.3	1	0.5	347	348	47.1
080115	0500	3.6	0.7	3.1	0.6	2.2	0.6	348	347	47.1
080115	0510	4.4	0.5	3.4	0.5	2.2	0.5	347	347	46.9
080115	0520	3.9	0.5	3.2	0.5	2.2	0.6	347	347	46.7
080115	0530	4.1	0.5	3.3	0.5	2.6	0.5	347	347	46.8
080115	0540	4.6	0.6	3.7	0.5	2.8	0.6	346	346	46.8
080115	0550	4.9	0.5	4	0.5	3.2	0.6	347	347	47
080115	0600	4.4	0.6	3.4	0.6	2.2	0.6	347	347	47
080115	0610	3.9	0.6	2.8	0.6	1.4	0.7	347	348	47.1
080115	0620	3.7	0.4	2.8	0.5	1.5	0.6	347	348	47.1
080115	0630	3.8	0.4	2.9	0.5	1.8	0.6	347	348	47
080115	0640	3.5	0.4	2.5	0.5	1.4	0.7	348	348	46.7
080115	0650	4.2	0.3	3.1	0.4	1.4	0.5	348	348	46.6
080115	0700	4.1	0.3	3	0.4	1.5	0.7	348	348	46.6
080115	0710	3.8	0.4	2.6	0.5	1.1	0.6	347	348	46.5
080115	0720	3.7	0.3	2.8	0.3	1.1	0.5	347	348	46.6
080115	0730	3.9	0.4	2.9	0.4	1.4	0.6	347	348	46.6
080115	0740	3.9	0.4	2.7	0.5	1.4	0.7	347	348	46.4
080115	0750	3.8	0.3	2.4	0.4	0.8	0.5	347	348	46.3
080115	0800	3.2	0.4	1.9	0.4	0.4	0.2	348	348	46.3
080115	0810	2.7	0.3	1.6	0.3	0.4	0.2	348	348	46.4
080115	0820	2.9	0.4	1.6	0.3	0.3	0	348	348	46.5
080115	0830	2.4	0.2	1.4	0.2	0.4	0.1	349	348	46.7
080115	0840	2.3	0.4	1.2	0.5	0.3	0	349	348	46.7
080115	0850	1.9	0.3	0.8	0.4	0.3	0	348	348	46.6
080115	0900	1.9	0.4	1.1	0.5	0.4	0.1	348	348	46.5
080115	0910	2.2	0.4	1.4	0.3	0.4	0.1	348	348	46.5
080115	0920	2.2	0.4	1.5	0.4	0.6	0.3	348	347	46.3
080115	0930	1.7	0.9	1.1	0.5	0.3	0.1	348	348	45.9
080115	0940	0.9	0.4	0.4	0.2	0.3	0	348	348	45.8
080115	0950	1.3	0.4	0.6	0.4	0.3	0	348	348	45
080115	1000	1.4	0.3	1.1	0.3	0.6	0.3	347	347	44.5
080115	1010	1.2	0.4	0.7	0.4	0.3	0.1	345	347	44.2
080115	1020	1.6	0.4	1.1	0.4	0.3	0.1	343	346	43.9
080115	1030	0.9	0.5	0.5	0.4	0.4	0.1	343	347	43.8
080115	1040	1.1	0.4	0.8	0.3	0.3	0	343	347	43.6
080115	1050	0.9	0.3	0.5	0.3	0.3	0	344	348	43.6
080115	1100	0.7	0.3	0.4	0.2	0.3	0	344	347	43.5
080115	1110	0.6	0.4	0.4	0.2	0.3	0	345	348	43.3
080115	1120	0.9	0.4	0.5	0.3	0.3	0.1	344	349	43.2
080115	1130	1.2	0.3	0.6	0.3	0.3	0	344	349	42.9
080115	1140	1.3	0.5	0.7	0.4	0.3	0	342	346	42.7
080115	1150	1.5	0.4	1.2	0.6	0.3	0	342	346	42.1
080115	1200	1.5	0.4	1.4	0.5	0.4	0.2	342	346	41.6
080115	1210	1	0.4	0.7	0.4	0.3	0	342	345	41.1
080115	1220	0.5	0.3	0.5	0.3	0.3	0	343	345	40
080115	1230	0.4	0.3	0.4	0.3	0.3	0	342	346	39.4
080115	1240	0.8	0.5	0.8	0.5	0.5	0.4	343	346	38.8
080115	1250	1.7	0.4	1.8	0.4	1.4	0.6	343	346	38.6
080115	1300	1.5	0.5	1.4	0.6	0.8	0.6	343	347	38.5
080115	1310	1.7	0.5	1.6	0.5	1.1	0.7	344	347	38.6
080115	1320	1.4	0.6	1.2	0.6	0.7	0.5	345	347	38.9
080115	1330	1.8	0.3	1.5	0.4	0.7	0.4	348	348	39.1
080115	1340	1.6	0.3	1.3	0.4	0.7	0.4	347	348	39.3
080115	1350	1.7	0.4	1.3	0.4	0.5	0.3	348	348	39.4
080115	1400	1.3	0.4	0.8	0.5	0.4	0.2	348	348	39.4
080115	1410	1.4	0.4	0.9	0.5	0.4	0.1	348	348	39.3
080115	1420	1.1	0.3	0.7	0.4	0.4	0.2	348	348	39.3
080115	1430	0.7	0.4	0.4	0.2	0.3	0	349	348	38.8
080115	1440	1.2	0.5	0.7	0.5	0.4	0.1	348	348	39
080115	1450	1.4	0.4	1	0.4	0.4	0.2	348	348	39.3
080115	1500	1.6	0.3	1.3	0.4	0.6	0.4	348	348	39.4
080115	1510	1.2	0.4	0.8	0.4	0.4	0.2	348	348	39.5
080115	1520	1	0.4	0.8	0.4	0.4	0.1	344	347	39.4
080115	1530	1.7	0.5	1.5	0.5	1.1	0.6	342	346	39.6
080115	1540	4.6	0.8	4.2	0.8	3.8	0.8	343	346	39.8
080115	1550	4.4	0.6	4.2	0.7	4	0.6	343	346	39.5
080115	1600	4	0.6	3.8	0.6	3.3	0.8	345	347	10.9
080115	1610	3.8	0.6	3.6	0.7	3	0.8	347	347	33
080115	1620	4.1	0.6	3.8	0.7	3	0.9	346	347	-49.5
080115	1630	4.7	0.7	4.5	0.7	3.7	0.9	347	347	-15.8
080115	1640	5.1	0.5	4.9	0.6	4.2	0.8	346	347	37.7
080115	1650	4.5	0.5	4.3	0.6	3.4	1	347	347	37
080115	1700	4.9	0.6	4.8	0.6	3.8	0.8	346	347	37.1
080115	1710	4.7	0.6	4.7	0.6	3.7	0.7	346	347	35.9
080115	1720	3.7	0.6	3.7	0.7	2.8	0.9	346	347	37
080115	1730	3.4	0.8	3.3	0.8	2.4	1.1	347	347	36.8
080115	1740	3.5	0.4	3.3	0.4	2.4	0.7	347	347	36.6
080115	1750	3.7	0.7	3.5	0.8	2.6	1.2	347	347	36.3
080115	1800	4.2	0.5	4.1	0.4	3.2	0.7	345	346	36.9
080115	1810	4.1	0.4	3.9	0.5	2.7	0.9	347	347	36.9
080115	1820	3.9	0.6	3.8	0.6	3.2	0.8	346	347	36.7
080115	1830	4.6	0.7	4.3	0.8	3.4	0.9	347	347	36.5
080115	1840	5.2	0.6	5	0.7	3.9	0.9	347	347	36.5
080115	1850	5.3	0.6	5	0.6	4.1	0.9	347	347	37
080115	1900	5.2	0.5	4.9	0.6	4	0.7	347	347	36.7
080115	1910	4.9	0.6	4.8	0.6	3.7	0.9	347	347	36.5
080115	1920	5.1	0.7	4.9	0.8	3.9	1	347	347	37.1
080115	1930	4.9	0.5	4.7	0.5	3.4	0.8	347	347	37.7
080115	1940	3.7	0.6	3.7	0.6	2.4	0.9	347	347	37.4
080115	1950	4	0.4	4	0.4	3	0.7	347	347	38.1
080115	2000	2.9	0.5	3	0.5	1.7	0.8	347	347	38.3
080115	2010	3.4	0.5	3.2	0.5	1.7	0.8	347	347	38.4
080115	2020	3.3	0.5	3.3	0.4	2.2	0.6	347	347	38.7
080115	2030	2.9	0.5	2.8	0.4	1.9	0.6	347	347	38.8
080115	2040	2.3	0.7	2.2	0.6	0.9	0.6	346	347	38.8
080115	2050	2.1	0.4	1.9	0.3	0.7	0.5	346	347	39
080115	2100	2.4	0.4	2.2	0.3	0.9	0.5	347	347	39.2
080115	2110	2	0.4	1.5	0.3	0.4	0.1	347	347	39.3
080115	2120	2.1	0.3	1.7	0.3	0.4	0.2	347	347	39.5
080115	2130	2.3	0.3	1.7	0.3	0.3	0	346	347	39.8
080115	2140	2.6	0.3	1.8	0.4	0.4	0.1	348	347	40.1
080115	2150	1.7	0.5	0.8	0.5	0.3	0	349	348	40.2
080115	2200	1.1	0.2	0.3	0	0.3	0	348	348	40.4
080115	2210	1.3	0.2	0.3	0.1	0.3	0	348	348	40.6
080115	2220	1.5	0.3	0.7	0.3	0.3	0	348	348	40.7
080115	2230	1.7	0.3	0.7	0.3	0.3	0	348	348	40.5
080115	2240	1.2	0.2	0.4	0.1	0.3	0	348	348	40.5
080115	2250	1	0.3	0.3	0	0.3	0	348	349	40.5
080115	2300	0.3	0.1	0.3	0	0.3	0	348	349	40.8
080115	2310	0.3	0	0.3	0	0.3	0	348	348	40.9
080115	2320	0.3	0	0.3	0	0.3	0	348	348	41
080115	2330	0.3	0	0.3	0	0.3	0	348	349	40.8
080115	2340	0.7	0.5	0.8	0.6	0.4	0.1	348	349	40.5
080115	2350	2	0.4	1.9	0.3	0.6	0.3	303	329	40.3
080215	0000	3.1	0.8	2.6	0.8	1.2	1	323	328	40
080215	0010	7	1	6.4	1.1	5	1.1	324	328	40.4
080215	0020	6.1	1	5.6	1	4.4	1	324	330	40.5
080215	0030	5.7	0.7	5.2	0.7	4.1	0.8	324	330	41.1
080215	0040	6.5	1	5.9	1	4.3	1.1	323	332	41.7
080215	0050	6.4	0.7	6.1	0.6	5	0.7	323	330	42
080215	0100	6.2	0.7	5.9	0.8	4.8	0.8	324	330	42.5
080215	0110	5.6	0.6	5.2	0.6	4.3	0.6	323	329	43.1
080215	0120	4.9	0.6	4.6	0.6	3.4	0.7	324	331	43.5
080215	0130	5	0.5	4.6	0.6	3.4	0.6	324	332	44
080215	0140	4.7	0.9	4.3	0.8	3	0.8	322	328	44.3
080215	0150	4.7	0.8	4.4	0.9	3.5	1	322	328	44.6
080215	0200	4.1	0.7	3.9	0.7	2.8	0.9	319	323	45.3
080215	0210	4.2	0.7	4	0.7	3	0.7	316	321	46
080215	0220	4.4	0.7	4	0.6	2.7	0.7	312	317	46.5
080215	0230	3.2	0.6	3	0.6	1.9	0.8	310	319	47
080215	0240	2.9	0.7	2.4	0.7	1.2	0.8	298	310	47.1
080215	0250	2.8	0.6	2.2	0.6	0.8	0.6	266	292	47.2
080215	0300	3.1	0.6	2.4	0.6	0.9	0.6	247	280	47.3
080215	0310	3.4	0.6	2.8	0.9	1.2	0.8	242	271	47.5
080215	0320	3.3	0.7	2.8	0.6	1.4	0.8	304	312	47.7
080215	0330	3.2	0.5	2.5	0.6	1.1	0.7	257	282	47.7
080215	0340	3.1	0.5	2.2	0.5	0.5	0.3	257	287	47.6
080215	0350	2.3	0.3	1.5	0.5	0.4	0.1	265	291	47.7
080215	0400	2	0.4	1.2	0.6	0.4	0.2	275	288	47.7
080215	0410	2.4	0.7	1.3	0.6	0.5	0.3	357	1	47.7
080215	0420	2.4	0.6	1.1	0.6	0.4	0.2	349	11	48
080215	0430	2.6	0.7	1.2	0.5	0.5	0.3	349	350	48.1
080215	0440	2.4	0.4	1.2	0.5	0.4	0.1	351	180	48.1
080215	0450	2.2	0.7	1	0.6	0.4	0.1	310	49	48.1
080215	0500	3.4	0.5	1.8	0.5	0.4	0.2	0	24	48.1
080215	0510	2.4	0.5	1	0.5	0.4	0.1	357	21	48.1
